conditionId,question,market_category,n_trades,n_buy,n_sell,buy_yes_count,buy_no_count,sell_yes_count,sell_no_count,buy_yes_cost,buy_no_cost,buy_yes_avg_price,buy_no_avg_price,combined_buy_price,yes_net_position,no_net_position,total_cashflow,both_sides_buy,duration_sec,first_trade,last_trade
0x287c2b592cdfcac870401c77dc0b85610cb57c9a3f64bacb953f172b1e5c96a7,"Ethereum Up or Down - February 13, 2:45AM-3:00AM ET",crypto,22,22,0,10,12,0,0,233.49,77.31,0.5671,0.2826,0.8497,411.72,273.59,-310.8,True,632,1770968707,1770969339
0x2a534346aadbd86467bd9bb0ecf960e5347add24c294dcdfe58d299f54e1c7d8,"Bitcoin Up or Down - February 13, 1:05AM-1:10AM ET",crypto,29,26,3,23,3,0,3,779.74,46.29,0.6066,0.5315,1.1382,1285.36,-97.64,-746.63,True,218,1770962719,1770962937
0x2b8aae97087f725757190ffecc0308e367ec040144391edd19e2e8320d6421ad,"Bitcoin Up or Down - February 13, 12:45AM-12:50AM ET",crypto,24,19,5,10,9,5,0,395.03,289.57,0.5025,0.6681,1.1707,531.06,433.41,-577.67,True,208,1770961507,1770961715
0x2bdc46200e7647595d2e8d85c80887d1a29f7dc0db52aa7da165c772a413fd3e,"Bitcoin Up or Down - February 12, 8:45PM-9:00PM ET",crypto,57,42,15,23,19,11,4,2301.0,730.95,0.6563,0.2525,0.9088,1983.18,2202.86,-2207.3,True,634,1770947113,1770947747
0x2d53648c2e9d3f323e97a0c390cfc12c687079eb1d3fb3d471f8246bf4a0e302,"Solana Up or Down - February 13, 12AM ET",crypto,47,47,0,28,19,0,0,974.87,311.73,0.4889,0.2241,0.713,1993.95,1391.22,-1286.6,True,3014,1770959185,1770962199
0x30359b5c63c59638577c91ce584bf39cfa41619e930c67c56e7fbe1039a174f9,"Ethereum Up or Down - February 12, 10:30PM-10:45PM ET",crypto,81,74,7,31,43,0,7,1678.41,890.6,0.6799,0.3378,1.0177,2468.44,2403.68,-2500.81,True,646,1770953405,1770954051
0x3362a78f41abbabcff24c34dac3cdf999e6424faf2722c316b5bac24adfcf175,"XRP Up or Down - February 12, 9PM ET",crypto,8,8,0,1,7,0,0,1.49,49.08,0.74,0.1906,0.9306,2.02,257.47,-50.57,True,2756,1770948217,1770950973
0x35129e7ee024af7040f030556522db6c1f38480c165f97702a78cee95310b41b,"Bitcoin Up or Down - February 12, 11:30PM-11:45PM ET",crypto,28,24,4,11,13,2,2,423.56,1102.67,0.4593,0.5931,1.0523,880.07,1620.59,-1407.71,True,674,1770957005,1770957679
0x37bba2c869687c57019d0c21512f1e209af760acbecd0b463a641ce5d7054505,"Bitcoin Up or Down - February 13, 1:30AM-1:45AM ET",crypto,18,17,1,2,15,1,0,111.84,1577.83,0.451,0.6083,1.0592,47.0,2593.94,-1623.34,True,158,1770964207,1770964365
0x399bf7e43a00c969e569e4ab51fb89586ad0eebaca310f3ad4e916ce4a0dfaf2,"Ethereum Up or Down - February 12, 8:15PM-8:30PM ET",crypto,1,1,0,1,0,0,0,5.85,0.0,0.07,,0.07,83.5,0.0,-5.85,False,0,1770945845,1770945845
0x3beee638d2c0571c8e14f749fb7307b6675f50208c8edecd0168b11a7de5a5a4,"Bitcoin Up or Down - February 13, 2:45AM-3:00AM ET",crypto,43,37,6,13,24,4,2,981.42,1889.28,0.5393,0.4736,1.013,1142.82,3702.86,-2459.8,True,566,1770968707,1770969273
0x3cee4432188643b5dae671087383a5175180dd75beca7a606a85f523b87de980,"Bitcoin Up or Down - February 13, 12:50AM-12:55AM ET",crypto,6,6,0,0,6,0,0,0.0,357.84,,0.6252,0.6252,0.0,572.33,-357.84,False,18,1770961805,1770961823
0x3eef4e353a0c15d9ce40ce72be91bae912b98a63cd0b68180ae0d76de32d1684,"Bitcoin Up or Down - February 13, 1AM ET",crypto,58,58,0,28,30,0,0,1959.11,2757.02,0.4603,0.5632,1.0235,4256.43,4895.01,-4716.13,True,3402,1770962407,1770965809
0x440c9b41d52dc939b64d8e53950309d37773bfea69f173ab41b8167b4f0f7a73,"Bitcoin Up or Down - February 12, 10:20PM-10:25PM ET",crypto,20,15,5,1,14,0,5,6.86,474.86,0.49,0.6361,1.1261,14.0,362.05,-316.64,True,188,1770952823,1770953011
