conditionId,question,first_side,time_gap_sec,n_buys,n_yes_buys,n_no_buys,side_switches,switch_rate
0x46de09171efabc116de5cb944f014790526608535c6755e427e707e76dd6f0ea,"Bitcoin Up or Down - February 13, 3:20AM-3:25AM ET",Yes,10,7,5,2,2,0.3333333333333333
0x479e8d56aa08988c6f1b88d01160625ac342a08552145cd672efd33a61091f7e,"Bitcoin Up or Down - February 12, 10:30PM-10:45PM ET",Yes,38,57,28,29,10,0.17857142857142858
0x4923a55682907be7bbb276eaa038b4c5f731fbafa52376bdf7ac7b2d52e3e6b5,"Bitcoin Up or Down - February 12, 10:45PM-10:50PM ET",Yes,28,11,5,6,1,0.1
0x4ae24fa24bbf924eac47de7bd8c2ea593f3c09c660d4b60f0a464351d7b3400b,"Bitcoin Up or Down - February 13, 3:15AM-3:30AM ET",No,120,17,6,11,4,0.25
0x4c5bd69e9ffaf81f3582cee416b41028894c0d566d6ff96f1fb98a431c8d60c2,"Bitcoin Up or Down - February 13, 12:55AM-1:00AM ET",No,90,9,1,8,2,0.25
0x4da2b287d2acd0c7b4428fd6ec92b328b0600d4e245db7f3a4334cf232886be0,"Solana Up or Down - February 13, 2AM ET",Yes,136,29,14,15,15,0.5357142857142857
0x4dc485d6d05b12f92a053ae6f9a99aadc1757da23d02d26be3789e426bad33a5,"Bitcoin Up or Down - February 12, 8:25PM-8:30PM ET",No,52,19,5,14,2,0.1111111111111111
0x4e3ac7cd0a9830c2fd52be3e1e7e79f1466aa7207f95717ec98ccad33666fbe0,"Bitcoin Up or Down - February 13, 2AM ET",Yes,334,30,16,14,8,0.27586206896551724
0x4fee2465b60318e23e6d2ad0ac0b0c347ee86866c989f09042b3071f941934ac,"Ethereum Up or Down - February 13, 1:30AM-1:45AM ET",No,224,51,23,28,3,0.06
0x506fffb328e7632a3847927619d7235d8b291fdb1e8b801bb68cf653a345c26e,"Ethereum Up or Down - February 13, 12:45AM-1:00AM ET",Yes,22,11,5,6,1,0.1
0x554301a06e6201194af91cda3f9f528452550e629c33defda78ac48acae78157,"Bitcoin Up or Down - February 12, 10:10PM-10:15PM ET",Yes,8,10,8,2,2,0.2222222222222222
0x56166e99349f6fc03bd0795b479571e4dd89ad7ba77219004db44241258b872d,"Solana Up or Down - February 12, 9PM ET",No,270,65,23,42,18,0.28125
0x591e7f839606e9611f90723f9055eaca52026665696c2fb1d458afa208c1f6a6,"Bitcoin Up or Down - February 12, 10PM ET",Yes,84,47,26,21,10,0.21739130434782608
0x5a40a6cb1b928b0528d992d34a6022cae13fcf745de10dee4d2b7ea333d8e3d1,"Bitcoin Up or Down - February 13, 1:00AM-1:15AM ET",Yes,48,14,8,6,4,0.3076923076923077
0x5e1bd55e16408fc62950f04825f501845e4f493d56dc58074482d9c587615867,"Bitcoin Up or Down - February 13, 12:45AM-1:00AM ET",Yes,62,24,15,9,4,0.17391304347826086
0x6191129cb10edf987b1bb53a835a50805053d649988bc9f5777e4a60f2205a19,"Bitcoin Up or Down - February 13, 3:40AM-3:45AM ET",Yes,66,7,6,1,1,0.16666666666666666
0x66580f82f129832cd422e0c946727d36f94d0448b223d89cda184998a24d6a3c,"Bitcoin Up or Down - February 12, 11:25PM-11:30PM ET",No,28,15,9,6,3,0.21428571428571427
0x66c41f4fc12bf239e0a5209c035dda8ef0ddddb07e0d88f74f97514afb985ad3,"Ethereum Up or Down - February 13, 12:15AM-12:30AM ET",Yes,18,26,6,20,3,0.12
0x6709f67f5b3752a278381975c6bdfe000b2aa65b7abf6e622cc72490419cce28,"Ethereum Up or Down - February 13, 1:00AM-1:15AM ET",No,8,15,6,9,4,0.2857142857142857
0x6896f7922ba555c8a7d2e2750e587138ecb544f4eb114ef32fbf7b3bf46cc71d,"Bitcoin Up or Down - February 13, 1:10AM-1:15AM ET",No,38,17,6,11,2,0.125
0x69b898739b4aa5cab4593f3e29bfabdb03779fa3320c578e3cf3c4ce70c9c2d1,"Bitcoin Up or Down - February 12, 11:40PM-11:45PM ET",No,90,7,3,4,2,0.3333333333333333
0x69dbfb5b506bbc7a513c1d564e0f736ec1217c41359e26e2d6b138121d79b2a7,"Solana Up or Down - February 12, 10PM ET",Yes,78,53,27,26,14,0.2692307692307692
0x6d142587e597b79c33bac06c91c4f44291010b657ae21c04db90ccb3af5bfb75,"Solana Up or Down - February 12, 8PM ET",Yes,224,8,5,3,3,0.42857142857142855
