conditionId,question,slug,category,settled,winner,both_sides,buy_yes_cost,buy_no_cost,buy_yes_size,buy_no_size,net_yes,net_no,avg_p_yes,avg_p_no,combined_price,hedged_size,arb_per_unit,directional_side,directional_size,directional_price,sell_revenue,pnl_arb,pnl_direction,pnl_residual,pnl_total
0x9da508aaadbb5fcd3e573271a78d8f44305cbd8823542f260fc6a39373be990b,"Bitcoin Up or Down - February 12, 8:40PM-8:45PM ET",btc-updown-5m-1770946800,crypto,False,,True,588.83,7.09,1112.72,17.29,1112.72,17.29,0.5292,0.41,0.9392,17.29,0.0608,yes,1095.43,0.5292,0,1.05,,,
0x6d142587e597b79c33bac06c91c4f44291010b657ae21c04db90ccb3af5bfb75,"Solana Up or Down - February 12, 8PM ET",solana-up-or-down-february-12-8pm-et,crypto,False,,True,71.11,34.81,87.93,260.43,87.93,260.43,0.8087,0.1337,0.9424,87.93,0.0576,no,172.5,0.1337,0,5.07,,,
0xefd17ef259c382a68886a469533885b38d93cf43c6105ee85fa05639aadcc192,"Bitcoin Up or Down - February 12, 8:35PM-8:40PM ET",btc-updown-5m-1770946500,crypto,False,,True,202.75,197.52,311.31,421.0,311.31,320.0,0.6513,0.4692,1.1205,311.31,-0.1205,no,8.69,0.4692,35.35,-37.5,,,
0xcf1110309a58a5c44155ac9ca2930e74d6a0252ef08201f3fd114bf00bc959a9,"XRP Up or Down - February 12, 8PM ET",xrp-up-or-down-february-12-8pm-et,crypto,False,,True,58.39,102.72,167.36,337.58,167.36,337.58,0.3489,0.3043,0.6532,167.36,0.3468,no,170.22,0.3043,0,58.05,,,
0x94a5afdfee0373af75edc7be11c35aac2cd8ab6e5904d207f400690221dfebe4,"Ethereum Up or Down - February 12, 8:30PM-8:45PM ET",eth-updown-15m-1770946200,crypto,False,,True,251.89,198.36,388.11,579.16,388.11,579.16,0.649,0.3425,0.9915,388.11,0.0085,no,191.05,0.3425,0,3.3,,,
0x54322ca5cbc34b2c82521e1dfb32e96b80efc87ff793e3f86d2f78e1dc809394,"Bitcoin Up or Down - February 12, 8:30PM-8:45PM ET",btc-updown-15m-1770946200,crypto,False,,False,1316.29,0,2118.0,0,2118.0,-386.0,0.6215,0,,0,,yes,2118.0,0.6215,146.68,0,,,
0x28097b05aa1a30909e8c17ba5078f598b0b0d98158cf61c16eed1ea177537c2f,"Bitcoin Up or Down - February 12, 8:30PM-8:35PM ET",btc-updown-5m-1770946200,crypto,False,,True,459.03,68.99,684.01,206.0,684.01,206.0,0.6711,0.3349,1.006,206.0,-0.006,yes,478.01,0.6711,0,-1.23,,,
0x4dc485d6d05b12f92a053ae6f9a99aadc1757da23d02d26be3789e426bad33a5,"Bitcoin Up or Down - February 12, 8:25PM-8:30PM ET",btc-updown-5m-1770945900,crypto,False,,True,222.05,550.53,447.84,1127.72,206.19,915.72,0.4958,0.4882,0.984,206.19,0.016,no,709.53,0.4882,163.25,3.3,,,
0xf1b8d60c2a5045cc0d043bd8c1b54348ba71883704fefcde160ba4c23eba0e9f,"Bitcoin Up or Down - February 12, 8:15PM-8:30PM ET",btc-updown-15m-1770945300,crypto,False,,True,249.94,547.2,1152.02,912.0,1152.02,912.0,0.217,0.6,0.817,912.0,0.183,yes,240.02,0.217,0,166.94,,,
0x399bf7e43a00c969e569e4ab51fb89586ad0eebaca310f3ad4e916ce4a0dfaf2,"Ethereum Up or Down - February 12, 8:15PM-8:30PM ET",eth-updown-15m-1770945300,crypto,False,,False,5.85,0,83.5,0,83.5,0,0.07,0,,0,,yes,83.5,0.07,0,0,,,
0xfb79e7dea0f13ee58f7b0c1cf36977d63598b10eb14fe7d4ddffb64e2b2d4e23,"Bitcoin Up or Down - February 12, 8:20PM-8:25PM ET",btc-updown-5m-1770945600,crypto,False,,True,376.95,191.49,707.0,304.49,490.39,203.49,0.5332,0.6289,1.162,203.49,-0.162,yes,286.9,0.5332,138.27,-32.98,,,
0x20fb56a0090f5b8cd99432d9c8dba52969e99a84ab9ecb788a6a6e587b3e9576,"Bitcoin Up or Down - February 12, 8PM ET",bitcoin-up-or-down-february-12-8pm-et,crypto,False,,False,647.78,0,807.16,0,807.16,0,0.8025,0,,0,,yes,807.16,0.8025,0,0,,,
0xa829dd60bb243c19ef929980366672f0305ffed7d0c3feade77b293e3f482465,"Bitcoin Up or Down - February 12, 8:15PM-8:20PM ET",btc-updown-5m-1770945300,crypto,False,,True,43.24,113.38,110.88,234.02,110.88,224.02,0.39,0.4845,0.8745,110.88,0.1255,no,113.14,0.4845,3.45,13.92,,,
