conditionId,question,coin,window_type,first_trade_ts,bn_price,cl_price,spread_abs,spread_pct,spread_direction,direction_bias,bias_label,mom_1m_pct
0x1e795d284498751b7977f2db43ae58e60cfb28a65c77e577bbb20d9b815ac6ca,"Ethereum Up or Down - February 12, 10:00PM-10:15PM ET",ETHUSDT,5min,1770951605,1945.345,1947.8506,-2.5056,-0.128798,BN<CL,0.3725,Up偏重,0.0
0xd314dbd001cfaf9203f0fa8411cf9295377c21a7d7e3c4ef2cb08aec54ff7520,"Bitcoin Up or Down - February 12, 10:05PM-10:10PM ET",BTCUSDT,5min,1770951909,66531.745,66672.143,-140.398,-0.211024,BN<CL,-0.9895,Down偏重,0.0
0xb7ad240be751fea752ee7fb0f6d246dbbe71c0997bb6c7dc25767b6e47e0c0bc,"Bitcoin Up or Down - February 12, 10:00PM-10:15PM ET",BTCUSDT,5min,1770951607,66531.745,66600.0,-68.255,-0.10259,BN<CL,0.4404,Up偏重,0.0
0x0e1b703a170b1f8133e77094884038b25655282aac03cf2c0a699be2e9263533,"Bitcoin Up or Down - February 12, 10:00PM-10:05PM ET",BTCUSDT,5min,1770951605,66531.745,66600.0,-68.255,-0.10259,BN<CL,0.0759,均衡,0.0
0xf06d986f674ebe514bb1139a162ef9c0c1dc4ddfa3d05ef57a494e499f8132a3,"Bitcoin Up or Down - February 12, 9:55PM-10:00PM ET",BTCUSDT,5min,1770951323,66531.745,66600.0,-68.255,-0.10259,BN<CL,0.7987,Up偏重,0.0
0xb6d9148528fb13725c7525bf1297aff1239f0b1b70b632593a5fea9bae5a6208,"Bitcoin Up or Down - February 12, 9:45PM-10:00PM ET",BTCUSDT,5min,1770950711,66531.745,66454.6955,77.0495,0.115809,BN>CL,0.1489,Up偏重,0.0
0xa5783cfa595b9985e61db3d5a506257fa60ad7c5cfffeb4c0a3719d07f9da365,"Ethereum Up or Down - February 12, 9:45PM-10:00PM ET",ETHUSDT,5min,1770950717,1945.345,1945.2372,0.1078,0.005539,BN>CL,-0.1738,Down偏重,0.0
0x80f517f253e045340a5abb619abe269cea76f164d4767b4f5cbe5ff02ea0f89f,"Bitcoin Up or Down - February 12, 9:50PM-9:55PM ET",BTCUSDT,5min,1770951007,66531.745,66582.3066,-50.5616,-0.075996,BN<CL,0.992,Up偏重,0.0
0xc897aaf02197ed2143086c888bb7d0329017f8ee54db463c82e7e854da3217fa,"Ethereum Up or Down - February 12, 9PM ET",ETHUSDT,1hour,1770948303,1944.585,1944.776,-0.191,-0.009822,BN<CL,0.3562,Up偏重,0.0216
0x56166e99349f6fc03bd0795b479571e4dd89ad7ba77219004db44241258b872d,"Solana Up or Down - February 12, 9PM ET",SOLUSDT,1hour,1770948043,78.485,78.603,-0.118,-0.150347,BN<CL,-0.0483,均衡,0.0
