conditionId,question,coin,window_type,window_start_ts,first_trade_ts,entry_delay_sec,direction_bias,bias_label,mom_1m_pct,mom_5m_pct,mom_15m_pct,bn_price_at_entry,buy_yes_cost,buy_no_cost
0x1c943cffbe2d08bd545f793e573ff204ba5b22e4ad2b93fec000756cc1e4033c,"Ethereum Up or Down - February 12, 9:30PM-9:45PM ET",ETHUSDT,5min,1770949800.0,1770949819,19.0,0.3215,Up偏重,-0.0169,-0.0934,-0.0277,1946.82,211.77,108.73
0xac9a521dfc8233e78242695759d136824b1d451cb83eb6ff1790e49c00ed94f9,"Bitcoin Up or Down - February 12, 9:35PM-9:40PM ET",BTCUSDT,5min,1770950100.0,1770950107,7.0,-0.5523,Down偏重,0.0,-0.0455,0.0688,66531.74,50.5,175.1
0x096ed3f10259b3dd2fc1f15c404ff0ad5d3be959f96e2283a6f3b88ef1811876,"Bitcoin Up or Down - February 12, 9:30PM-9:35PM ET",BTCUSDT,5min,1770949800.0,1770949809,9.0,0.313,Up偏重,-0.0859,-0.0157,0.0665,66549.17,452.89,236.99
0xea5aa004d2907aacfffb62e601f160d5c1805f37f7565e3e9640b58cff70bb0c,"Bitcoin Up or Down - February 12, 9:15PM-9:30PM ET",BTCUSDT,5min,1770948900.0,1770948907,7.0,0.1086,Up偏重,0.0149,-0.0432,0.1148,66517.23,578.63,465.29
0xd74333eeb92831621ccf8a4bdc9550d93127fc831eb59918bfa7fd05d28ee65e,"Ethereum Up or Down - February 12, 9:15PM-9:30PM ET",ETHUSDT,5min,1770948900.0,1770948907,7.0,-0.2027,Down偏重,-0.0098,-0.0493,-0.0241,1947.09,218.09,328.95
0xae905bcbc5bb47b49886bb22bbc064f740c5f3ada6578266ed1e7a471e52461d,"Bitcoin Up or Down - February 12, 9:25PM-9:30PM ET",BTCUSDT,5min,1770949500.0,1770949507,7.0,0.6736,Up偏重,0.1082,0.1073,0.0171,66557.35,541.79,105.66
0xea317149ff4c675068a8fb0f9e340752da2c058e7cfe43bb7b1c0a761f9661da,"Bitcoin Up or Down - February 12, 9:20PM-9:25PM ET",BTCUSDT,5min,1770949200.0,1770949247,47.0,-0.7337,Down偏重,-0.0874,-0.0875,0.0059,66454.01,59.92,390.14
0xd51c528bc88144086179dfa9f44d75d46a8a7cbddd9a5a0360335735c1ea2086,"Bitcoin Up or Down - February 12, 9:15PM-9:20PM ET",BTCUSDT,5min,1770948900.0,1770948905,5.0,-1.0,Down偏重,0.0279,-0.0302,0.1279,66525.92,0.0,657.13
0x453907070556e6b00b72d6cfb10b6fd24494aad3b7f5187d2d4b14a55ca96e17,"Bitcoin Up or Down - February 12, 9PM ET",BTCUSDT,1hour,,1770948009,,1.0,Up偏重,0.0,0.0,0.0,66440.98,1437.78,0.0
0x007d4b0cb9d1852c60546d5a2bf4771a54602335685f377f215194f223ccde4a,"Bitcoin Up or Down - February 12, 9:10PM-9:15PM ET",BTCUSDT,5min,1770948600.0,1770948635,35.0,-0.25,Down偏重,0.0552,0.1388,0.1393,66533.51,88.88,148.13
0xfa75b0896310f9f9fdd48c01241a236e996453ffeebdb5f8d8938342a9be8f4a,"Bitcoin Up or Down - February 12, 9:00PM-9:15PM ET",BTCUSDT,5min,1770948000.0,1770948007,7.0,0.1658,Up偏重,0.0,0.0,0.0,66440.98,977.74,699.61
0xc552665f6a692b1abfe999a974226c6d9df066774bdfc72957d0b67d41d218fd,"Ethereum Up or Down - February 12, 9:00PM-9:15PM ET",ETHUSDT,5min,1770948000.0,1770948007,7.0,0.3035,Up偏重,0.0,0.0,0.0,1947.57,488.3,260.9
0x467beb59ae402b3a7dd6a6758a4f00e8a3e05125a2f2a4a1c6e1f727ec01d499,"Bitcoin Up or Down - February 12, 9:05PM-9:10PM ET",BTCUSDT,5min,1770948300.0,1770948305,5.0,-0.6161,Down偏重,0.0535,0.0482,0.0482,66472.99,92.74,390.37
0xd49511dad85d1b592f80c4d8de3a010d3800a6f24ab3ca46d4af5ece3b5b0d59,"Bitcoin Up or Down - February 12, 9:00PM-9:05PM ET",BTCUSDT,5min,1770948000.0,1770948005,5.0,-0.1255,Down偏重,0.0,0.0,0.0,66440.98,371.86,478.61
0xef516d6f1159cd32cb1d088c80e5e68f6d10921fca29f3699ef3ba74f51e4bd6,"Bitcoin Up or Down - February 12, 8:55PM-9:00PM ET",BTCUSDT,5min,1770947700.0,1770947709,9.0,-1.0,Down偏重,0.0,0.0,0.0,66440.98,0.0,934.14
0x2bdc46200e7647595d2e8d85c80887d1a29f7dc0db52aa7da165c772a413fd3e,"Bitcoin Up or Down - February 12, 8:45PM-9:00PM ET",BTCUSDT,5min,1770947100.0,1770947113,13.0,0.5178,Up偏重,0.0,0.0,0.29,66440.98,2301.0,730.95
0x7fce2da3f9ae66fef6785f0dd788b83ebdcd1a909bc29df50e2cfe4889d5e546,"Ethereum Up or Down - February 12, 8:45PM-9:00PM ET",ETHUSDT,5min,1770947100.0,1770947113,13.0,0.2754,Up偏重,0.0,0.0,0.3612,1947.57,540.22,306.94
